Timestamp,Open,High,Low,Close,Volume
2017-07-01 23:00:00,1.2,1.2,1.2,1.2,2366.6194
2017-07-02 00:00:00,1.4,1.4,0.5,0.9201,157378.32635963
2017-07-02 01:00:00,0.925,0.9799,0.9201,0.979,90253.49507782
2017-07-02 02:00:00,0.979,1.33,0.9701,1.33,412086.8612939
2017-07-02 03:00:00,1.33,1.4875,1.0201,1.3799,101207.53091584
2017-07-02 04:00:00,1.3996,1.6479,1.05,1.6111,97429.4585811
2017-07-02 05:00:00,1.6001,1.6001,1.118,1.2101,96985.84141312
2017-07-02 06:00:00,1.202,1.3499,1.06,1.135,85022.891878
2017-07-02 07:00:00,1.1235,1.3237,1.08,1.2379,58431.79555132
2017-07-02 08:00:00,1.2976,1.3999,1.1071,1.11,103638.0344585
2017-07-02 09:00:00,1.12,1.211,0.9406,0.943,125345.46146749
2017-07-02 10:00:00,0.9595,1.3,0.9451,1.0743,92089.09850892
2017-07-02 11:00:00,1.0595,1.193,1.0004,1.1194,98036.66985889
2017-07-02 12:00:00,1.0901,1.14,1.0652,1.128,57218.65509963
2017-07-02 13:00:00,1.11,1.125,1.0887,1.11,73136.91245435
2017-07-02 14:00:00,1.11,1.2496,1.0935,1.1709,114597.81359954
2017-07-02 15:00:00,1.1501,1.3,1.14,1.29,98444.34725847
2017-07-02 16:00:00,1.2513,1.3,1.1951,1.2215,70524.06865991
2017-07-02 17:00:00,1.2215,1.3272,1.203,1.3,66428.69205266
2017-07-02 18:00:00,1.3,1.548,1.282,1.548,102905.95318306
2017-07-02 19:00:00,1.5291,2.38,1.5,2.3103,158426.74729099
2017-07-02 20:00:00,2.35,2.5739,2.03,2.3,166523.43012281
2017-07-02 21:00:00,2.25,2.43,1.8003,2.1999,169429.42675967
2017-07-02 22:00:00,2.175,2.2,1.901,2.1199,82415.50978237
2017-07-02 23:00:00,2.12,2.24,2.0998,2.2052,123025.67899518
2017-07-03 00:00:00,2.2051,2.31,2.115,2.3098,123562.46817936
2017-07-03 01:00:00,2.2998,2.37,2.17,2.35,71482.47434956
2017-07-03 02:00:00,2.336,2.37,2.2062,2.37,99901.48998111
2017-07-03 03:00:00,2.37,2.65,2.1344,2.4102,234698.46306073
2017-07-03 04:00:00,2.4102,2.75,2.41,2.75,188267.40240958
2017-07-03 05:00:00,2.75,3.2981,2.66,2.81,129081.8624295
2017-07-03 06:00:00,2.7901,3.19,2.6702,2.9103,66311.95900456
2017-07-03 07:00:00,2.9248,3.0,2.805,2.9103,39312.85142548
2017-07-03 08:00:00,2.9673,2.9673,2.41,2.7,98933.58159176
2017-07-03 09:00:00,2.71,2.7451,2.5,2.7439,40459.05434142
2017-07-03 10:00:00,2.7201,3.443,2.7,3.443,110704.81748633
2017-07-03 11:00:00,3.443,3.7665,3.1355,3.3793,91820.3683334
2017-07-03 12:00:00,3.3789,4.0,3.3,3.9401,99254.26981465
2017-07-03 13:00:00,4.0,5.0,4.0,4.9599,237003.64276563
2017-07-03 14:00:00,4.9599,5.0,4.0001,4.6431,243053.96952286
2017-07-03 15:00:00,4.67,4.9,4.05,4.8989,136713.91898751
2017-07-03 16:00:00,4.899,5.48,4.8314,5.2948,191924.93932113
2017-07-03 17:00:00,5.26,5.32,3.507,4.46,225992.54455959
2017-07-03 18:00:00,4.4597,4.5,3.3001,3.4599,343677.9655601
2017-07-03 19:00:00,3.4599,4.0,3.3,4.0,184614.90334106
2017-07-03 20:00:00,4.0,4.4,3.767,3.9469,147483.67510527
2017-07-03 21:00:00,3.9475,4.1199,3.7,3.73,103971.81450789
2017-07-03 22:00:00,3.75,4.1,3.6765,4.015,61815.85824171
2017-07-03 23:00:00,4.05,4.32,3.9169,4.31,73825.3496276
2017-07-04 00:00:00,4.31,4.725,4.0,4.694,224590.86567735
2017-07-04 01:00:00,4.694,4.8,4.45,4.655,146275.75675558
2017-07-04 02:00:00,4.655,4.684,4.5,4.6,80260.30523027
